"","Suburb","Day","period","Murder..","Attempted.murder","Murder.accessory..conspiracy","Manslaughter..","Domestic.violence.related.assault","Non.domestic.violence.related.assault","Assault.Police","Sexual.assault","Sexual.touching..sexual.act.and.other.sexual.offences","Abduction.and.kidnapping","Robbery.without.a.weapon","Robbery.with.a.firearm","Robbery.with.a.weapon.not.a.firearm","Blackmail.and.extortion","Intimidation..stalking.and.harassment","Other.offences.against.the.person","Break.and.enter.dwelling","Break.and.enter.non.dwelling","Receiving.or.handling.stolen.goods","Motor.vehicle.theft","Steal.from.motor.vehicle","Steal.from.retail.store","Steal.from.dwelling","Steal.from.person","Stock.theft","Fraud","Other.theft","Arson","Malicious.damage.to.property","Possession.and.or.use.of.cocaine","Possession.and.or.use.of.narcotics","Possession.and.or.use.of.cannabis","Possession.and.or.use.of.amphetamines","Possession.and.or.use.of.ecstasy","Possession.and.or.use.of.other.drugs","Dealing..trafficking.in.cocaine","Dealing..trafficking.in.narcotics","Dealing..trafficking.in.cannabis","Dealing..trafficking.in.amphetamines","Dealing..trafficking.in.ecstasy","Dealing..trafficking.in.other.drugs","Cultivating.cannabis","Manufacture.drug","Importing.drugs","Other.drug.offences","Prohibited.and.regulated.weapons.offences","Trespass","Offensive.conduct","Offensive.language","Criminal.intent","Betting.and.gaming.offences","Liquor.offences","Pornography.offences","Prostitution.offences","Escape.custody","Breach.Apprehended.Violence.Order","Breach.bail.conditions","Fail.to.appear","Resist.or.hinder.officer","Other.offences.against.justice.procedures","Transport.regulatory.offences","Other.offences","Month","Year","Date","c_homicide","c_assault","c_robbery","c_theft","c_sexual","c_drugs","c_disorderly","c_justice","c_other"
"1","Aarons Pass","01","Jan 1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jan","1995",1995-01-01,0,0,0,0,0,0,0,0,0
"2","Aarons Pass","01","Feb 1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Feb","1995",1995-02-01,0,0,0,1,0,0,0,0,0
"3","Aarons Pass","01","Mar 1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mar","1995",1995-03-01,0,0,0,0,0,0,0,0,0
"4","Aarons Pass","01","Apr 1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr","1995",1995-04-01,0,0,0,0,0,0,0,0,0
"5","Aarons Pass","01","May 1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May","1995",1995-05-01,0,0,0,0,0,0,0,0,0
"6","Aarons Pass","01","Jun 1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jun","1995",1995-06-01,0,0,0,0,0,0,0,0,0
"7","Aarons Pass","01","Jul 1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jul","1995",1995-07-01,0,0,0,0,0,0,0,0,0
"8","Aarons Pass","01","Aug 1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aug","1995",1995-08-01,0,0,0,0,0,0,0,0,0
"9","Aarons Pass","01","Sep 1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sep","1995",1995-09-01,0,0,0,0,0,0,0,0,0
"10","Aarons Pass","01","Oct 1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct","1995",1995-10-01,0,0,0,0,0,0,0,0,0
"11","Aarons Pass","01","Nov 1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nov","1995",1995-11-01,0,0,0,1,0,0,0,0,0
"12","Aarons Pass","01","Dec 1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dec","1995",1995-12-01,0,0,0,0,0,0,0,0,0
"13","Aarons Pass","01","Jan 1996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jan","1996",1996-01-01,0,0,0,0,0,0,0,0,0
"14","Aarons Pass","01","Feb 1996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Feb","1996",1996-02-01,0,0,0,1,0,0,0,0,0
"15","Aarons Pass","01","Mar 1996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mar","1996",1996-03-01,0,0,0,0,0,0,0,0,0
"16","Aarons Pass","01","Apr 1996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr","1996",1996-04-01,0,0,0,0,0,0,0,0,0
"17","Aarons Pass","01","May 1996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May","1996",1996-05-01,0,0,0,0,0,0,0,0,0
"18","Aarons Pass","01","Jun 1996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jun","1996",1996-06-01,0,0,0,0,0,0,0,0,0
"19","Aarons Pass","01","Jul 1996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jul","1996",1996-07-01,0,0,0,0,0,0,0,0,0
"20","Aarons Pass","01","Aug 1996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aug","1996",1996-08-01,0,0,0,0,0,0,0,0,0
